"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Ctsl",0.9,0.81,0.62,0.52,-1.79,-0.76,-0.3
"Zswim4",1.14,0.96,0.4,0.2,-1.68,-0.87,-0.16
"Hsp90ab1",0.97,1.14,0.46,0.28,-1.46,-1.13,-0.26
"Srfbp1",1.01,0.66,0.48,0.83,-1.54,-1.06,-0.38
"Tmbim6",0.91,1.02,0.27,0.77,-1.46,-1.06,-0.46
"Pcnx",0.49,1.44,0.54,0.42,-1.43,-0.97,-0.5
"Atp6v0a2",0.57,1.44,0.67,0.13,-1.45,-0.92,-0.44
"Hp1bp3",0.6,1.02,0.93,0.41,-1.59,-0.9,-0.47
"Ubc",0.65,1.07,0.83,0.53,-1.44,-0.99,-0.64
"Fbxl14",0.56,1.22,0.86,0.4,-1.36,-0.96,-0.73
"Ptpre",0.75,1.04,0.74,0.63,-1.2,-1.15,-0.8
"Akna",0.62,0.93,0.87,0.71,-1.31,-1.13,-0.69
"Taok3",0.67,0.99,0.73,0.74,-1.29,-1.19,-0.64
"Stim2",0.59,1.03,0.77,0.71,-1.39,-1.03,-0.69
"Clcn6",0.68,0.92,0.82,0.72,-1.38,-1.03,-0.74
"Tbk1",0.68,0.91,0.81,0.73,-1.46,-0.94,-0.72
"Tfg",0.79,0.92,0.87,0.59,-1.27,-1.04,-0.85
"Slc11a2",0.83,0.83,0.77,0.74,-1.34,-1,-0.83
"Dram1",0.78,0.93,0.72,0.74,-1.29,-1.06,-0.82
"Top1",0.63,0.97,0.68,0.8,-1.41,-1.14,-0.52
"Ccdc6",0.75,0.98,0.53,0.76,-1.54,-0.99,-0.5
"Sf3a2",0.84,0.92,0.69,0.58,-1.52,-1.07,-0.44
"Phip",0.89,0.83,0.71,0.59,-1.61,-0.9,-0.51
"Lims1",0.81,0.92,0.74,0.54,-1.65,-0.8,-0.56
"Cdk7",0.78,1,0.66,0.55,-1.62,-0.89,-0.48
"Bcl2l2",0.93,1.07,0.43,0.51,-1.63,-0.72,-0.59
"Nasp",0.99,1.1,0.39,0.41,-1.64,-0.66,-0.58
"Cd1d1",0.96,0.95,0.69,0.48,-1.49,-0.8,-0.79
"D5Ertd579e",0.81,1.07,0.65,0.53,-1.5,-0.7,-0.86
"Atg4b",0.92,0.87,0.49,0.77,-1.58,-0.77,-0.7
"Cct3",0.69,1.05,0.59,0.69,-1.61,-0.7,-0.72
"Pop7",0.8,1.05,0.6,0.56,-1.61,-0.77,-0.63
"Tmem184b",0.62,1.02,0.8,0.62,-1.55,-0.69,-0.83
"Sppl2a",0.65,0.92,0.76,0.73,-1.59,-0.62,-0.85
"Mvp",0.75,0.91,0.76,0.56,-1.69,-0.65,-0.64
"Hcls1",0.71,0.96,0.88,0.49,-1.57,-0.73,-0.75
"Nub1",0.72,0.77,0.86,0.74,-1.55,-0.86,-0.69
"Ppp2r2d",0.8,0.82,0.85,0.63,-1.51,-0.91,-0.68
"Pim3",0.83,0.82,0.7,0.7,-1.61,-0.68,-0.77
"Abcc1",0.72,0.91,0.72,0.76,-1.53,-0.78,-0.79
"Rbm17",0.87,0.69,0.95,0.46,-1.66,-0.78,-0.53
"Dync1i2",0.86,0.7,0.84,0.64,-1.63,-0.75,-0.66
"Rragc",0.81,0.73,0.81,0.62,-1.71,-0.77,-0.51
"Tmem219",0.85,0.79,0.82,0.56,-1.65,-0.79,-0.57
"Macroh2a1",0.94,0.74,0.79,0.64,-1.48,-0.89,-0.75
"Tspo",0.84,0.84,0.84,0.58,-1.49,-0.83,-0.78
"Garre1",0.93,0.81,0.85,0.52,-1.44,-0.9,-0.78
"Pid1",1.09,0.78,0.74,0.42,-1.55,-0.83,-0.64
"Susd6",1.01,0.65,0.76,0.62,-1.58,-0.84,-0.61
"Zfand3",1.03,0.62,0.89,0.53,-1.49,-0.88,-0.69
"Mettl3",0.77,1.05,-0.24,1.12,-1.51,-0.68,-0.51
"Abcf1",0.36,1.08,0.47,0.83,-1.8,-0.71,-0.23
"Ddx54",0.64,1.16,0.31,0.65,-1.79,-0.65,-0.33
"Arhgap31",0.54,1.05,0.48,0.91,-1.62,-0.74,-0.63
"Pdzd11",0.43,1.15,0.7,0.63,-1.69,-0.6,-0.63
"Kctd10",0.34,1.17,0.61,0.72,-1.74,-0.55,-0.55
"Mrpl27",0.61,1.09,0.24,1.05,-1.33,-1.09,-0.57
"Sh3kbp1",0.67,1.07,0.17,0.99,-1.49,-1,-0.41
"Bop1",0.45,1.47,0.29,0.73,-1.25,-1.02,-0.66
"Dda1",0.32,1.37,0.44,0.78,-1.41,-0.98,-0.51
"Slfn10-ps",1.01,1,-0.07,0.81,-1.07,-1.46,-0.22
"Tbcel",1.18,1.19,0.23,0.19,-1.13,-1.3,-0.36
"Brd9",1.12,0.83,0.4,0.49,-1.2,-1.48,-0.16
"Snu13",0.99,1.11,0.27,0.61,-1.08,-1.38,-0.52
"Sec22b",1.14,0.91,0.29,0.62,-1.26,-1.28,-0.43
"Strip1",0.83,1.2,0.19,0.83,-1.06,-0.97,-1.03
"Zscan29",0.84,1.06,0.07,1.05,-1.11,-1,-0.91
"Irf9",1.08,0.88,0.22,0.86,-1.06,-1.28,-0.7
"5830432E09Rik",1.09,0.97,0.27,0.76,-1.2,-0.98,-0.91
"Rnf20",1.05,0.96,0.23,0.82,-1.3,-1.02,-0.73
"Senp1",0.8,0.62,0.58,1.13,-1.29,-0.98,-0.86
"Zdhhc5",0.9,0.87,0.58,0.81,-1.31,-1.03,-0.82
"Nudt9",0.8,0.76,0.71,0.89,-1.25,-1.16,-0.76
"5430405H02Rik",0.89,0.76,0.53,0.96,-1.3,-1.04,-0.81
"Rsl1",0.85,0.71,0.61,0.99,-1.28,-1,-0.87
"Cpsf6",0.78,1.07,0.44,0.85,-1.01,-1.19,-0.94
"Atp6v1e1",0.59,1.03,0.41,1.08,-0.97,-1.17,-0.98
"Mecp2",0.48,0.97,0.47,1.17,-1.06,-1.12,-0.92
"Dnajc1",1.23,0.78,0.64,0.44,-1.09,-1.23,-0.77
"Gm43055",1.14,0.84,0.69,0.34,-1.04,-1.41,-0.58
"Vcp",1.05,0.85,0.77,0.39,-1.13,-1.35,-0.59
"Sf3a3",0.96,1.2,0.64,0.19,-1.11,-1.27,-0.61
"Usp3",1.04,1.01,0.47,0.51,-1.25,-1.27,-0.51
"Csnk2b",0.87,1.14,0.5,0.52,-1.27,-1.24,-0.51
"U2af2",0.89,1.24,0.39,0.47,-1.08,-1.33,-0.58
"Brd4",0.87,1.21,0.43,0.56,-1.15,-1.19,-0.74
"Pvr",1.1,0.91,0.48,0.64,-0.86,-1.21,-1.06
"Ndel1",1.02,1,0.54,0.57,-0.97,-1.21,-0.97
"Ly75",0.96,0.94,0.6,0.68,-1.03,-1.09,-1.06
"Riox2",1.14,0.82,0.62,0.58,-1.07,-1.1,-0.98
"Milr1",1.08,0.74,0.68,0.67,-1.04,-1.12,-1.01
"Klhl25",0.79,0.75,0.66,0.92,-1.1,-1.37,-0.65
"Med10",0.97,0.82,0.54,0.75,-1.07,-1.44,-0.57
"Sco1",1.05,0.54,0.78,0.77,-1.06,-1.28,-0.81
"Tpr",1.01,0.56,0.9,0.69,-1.18,-1.14,-0.83
"Ly6e",1,0.7,0.86,0.57,-1.29,-1.07,-0.78
"Mob1a",0.89,0.77,0.83,0.67,-1.31,-1.09,-0.76
"Ythdc1",0.94,0.82,0.86,0.52,-1.16,-1.22,-0.76
"Ptpn11",0.97,0.76,0.92,0.51,-1.12,-1.19,-0.85
"Adgrl2",1.05,0.83,0.72,0.57,-1.14,-1.15,-0.88
"Agtrap",0.98,0.9,0.73,0.54,-1.22,-1.13,-0.81
"Gm5345",-0.54,1.25,0.91,0.7,-0.02,-0.83,-1.46
"Slamf9",-0.41,0.99,1.22,0.73,-0.24,-0.9,-1.39
"Sh3tc1",-0.81,0.94,1.19,0.89,-0.12,-0.87,-1.22
"Dyrk2",-0.77,0.77,1.01,1.21,-0.07,-1.11,-1.04
"H2-Q5",-0.45,1.05,0.83,0.97,0.08,-1.26,-1.22
"Ptprj",-0.57,1.15,0.82,0.88,0.12,-1.26,-1.14
"Gm42517",-0.83,1.12,1.51,0.38,-0.55,-0.9,-0.72
"Cars",-0.97,1.32,0.89,0.92,-0.65,-1.01,-0.49
"Cyfip2",-0.63,1.32,0.94,0.88,-0.86,-1.04,-0.61
"Tmem140",-0.56,0.96,1.11,1.07,-0.57,-1.17,-0.83
"Acsl5",-0.46,1.1,1.11,0.85,-0.55,-1.37,-0.67
"Zbtb21",-0.51,1.07,1.09,0.85,-0.47,-1.47,-0.56
"Htr2a",-0.98,0.72,0.97,1.41,-0.62,-0.95,-0.56
"Rhob",-1.12,1,1,1.06,-1.11,-0.57,-0.27
"Mertk",-0.24,0.36,1.77,0.63,-1.09,-0.51,-0.92
"Evi2a",-0.23,0.84,1.61,0.33,-1.23,-0.39,-0.93
"Rap2c",-0.29,0.63,1.01,1.13,-1.15,0.04,-1.38
"Rnf141",-0.1,0.78,1.18,0.88,-1.12,-0.25,-1.37
"Hs1bp3",-0.47,1.04,0.91,1.05,-0.56,-0.47,-1.5
"Tbc1d13",-0.43,1.09,1.2,0.82,-0.77,-0.73,-1.18
"Grina",-0.29,1.24,1.15,0.59,-0.74,-0.6,-1.34
"Med13",-0.7,0.7,1.23,1.17,-0.58,-0.66,-1.17
"Slc44a1",-0.86,0.96,1.08,1.12,-1.08,-0.53,-0.68
"Piezo1",-0.78,1.07,1.25,0.84,-0.85,-0.6,-0.93
"Slc12a4",-0.71,1.07,1.29,0.78,-1,-0.55,-0.88
"Gm37988",0.12,1.19,1.13,-0.12,-0.19,-1.75,-0.39
"Gtpbp6",0.18,1.25,1.15,0.07,-0.52,-1.58,-0.56
"Dll1",0.07,1.42,1.18,0,-0.53,-1,-1.14
"Unc5b",0.16,1.4,1.26,-0.21,-0.71,-1.15,-0.75
"Pik3cg",0.22,1.24,1.26,0.11,-1.21,-1,-0.62
"Il10ra",-0.21,1.35,1.15,0.34,-0.81,-1.34,-0.48
"Fcer1g",-0.26,1.42,1.31,-0.03,-1,-0.98,-0.47
"Bcl6",-0.16,1.11,0.96,0.35,0.31,-0.88,-1.69
"Slc25a43",0.33,0.76,0.86,0.36,0.57,-1.34,-1.53
"Nemp1",0.2,0.65,1,0.45,0.52,-1.23,-1.59
"Ier2",0.89,0.76,0.79,0.05,0.26,-1.1,-1.65
"Trim34a",0.6,0.79,0.8,0.74,-0.21,-1.2,-1.53
"Pphln1",0.53,0.82,0.85,0.66,-0.13,-1.1,-1.64
"Lcp2",0.51,0.67,0.88,0.65,0.1,-1.15,-1.66
"Psmb9",0.4,0.74,0.98,0.61,0.09,-1.29,-1.52
"Ass1",0.69,0.96,0.65,0.47,0.02,-1.23,-1.56
"Crtc2",0.55,1.06,0.6,0.47,0.12,-1.25,-1.55
"Jpt2",0.3,0.9,0.97,0.61,-0.07,-1.1,-1.6
"Armc8",0.35,1.08,0.85,0.44,-0.05,-1.03,-1.65
"Chmp4b",0.53,0.51,0.92,0.65,0.25,-1.45,-1.42
"Pkn2",0.58,0.71,0.77,0.72,0.06,-1.32,-1.51
"Slc49a3",0.62,0.63,0.8,0.78,-0.01,-1.45,-1.37
"Eva1b",0.51,0.65,0.79,0.88,-0.03,-1.37,-1.43
"Ncoa3",0.2,0.5,1.08,0.7,0.31,-1.54,-1.26
"Pmepa1",0.26,0.79,0.56,0.91,0.33,-1.55,-1.3
"Stk38l",0.41,0.65,0.56,0.78,0.51,-1.6,-1.29
"Tnc",0.41,0.73,0.58,1.15,-0.24,-1.56,-1.07
"Chac2",0.26,0.59,0.69,1.09,0.06,-1.71,-0.99
"Timm23",0.52,0.15,0.94,1.08,0.01,-1.38,-1.33
"Pip5k1a",0.42,0.42,1.1,0.82,-0.03,-1.3,-1.43
"Noc4l",0.34,0.65,0.74,1.25,-0.5,-1.13,-1.35
"Gm16675",0.59,0.5,0.41,1.41,-0.46,-1.12,-1.34
"A530040E14Rik",0.55,0.59,0.57,1.26,-0.55,-0.87,-1.54
"9130015A21Rik",0.66,0.31,0.64,1.29,-0.33,-1.37,-1.19
"Mb21d2",0.61,0.25,0.68,1.31,-0.29,-1.37,-1.19
"Rgcc",0.73,0.44,0.92,0.94,-0.44,-1.29,-1.3
"Hook2",0.75,0.52,0.73,0.98,-0.3,-1.39,-1.29
"Cish",0.8,0.52,0.59,1.07,-0.33,-1.32,-1.33
"Osm",0.74,0.39,0.69,1.1,-0.28,-1.31,-1.35
"Artn",0.45,0.95,0.5,0.96,-0.14,-1.41,-1.31
"E2f5",0.55,0.73,0.48,1.16,-0.28,-1.27,-1.37
"4933432I03Rik",0.45,1.02,0.59,0.95,-0.47,-1.21,-1.34
"Slc6a12",0.8,0.96,0.47,0.81,-0.44,-1.19,-1.4
"Tm9sf4",0.75,0.93,0.43,0.89,-0.4,-1.11,-1.49
"Cenpj",0.79,0.75,0.59,0.66,0.04,-1.31,-1.52
"Sat1",0.76,0.66,0.71,0.67,0.03,-1.47,-1.36
"Spsb1",0.75,0.97,0.4,0.7,-0.06,-1.29,-1.47
"Abhd15",0.73,0.93,0.41,0.68,0.04,-1.53,-1.27
"Rabgef1",0.74,0.79,0.5,0.8,-0.06,-1.55,-1.23
"Parp4",0.95,0.76,0.58,0.73,-0.39,-1.19,-1.44
"Rdh11",0.86,0.75,0.65,0.72,-0.26,-1.3,-1.42
"Rab11fip1",0.84,0.72,0.81,0.65,-0.35,-1.28,-1.39
"Casp3",0.93,0.67,0.83,0.59,-0.39,-1.27,-1.37
"Ndufb1",0.79,0.64,0.79,0.77,-0.29,-1.18,-1.51
"Ifi208",0.79,0.77,0.78,0.71,-0.43,-1.18,-1.44
"Zc3h7a",0.84,0.68,0.78,0.77,-0.45,-1.18,-1.43
"Nupr1",0.87,0.85,0.75,0.58,-0.4,-1.3,-1.34
"Xrn1",0.84,0.98,0.72,0.51,-0.47,-1.31,-1.28
"Six1",1.02,0.85,0.72,0.45,-0.47,-1.23,-1.33
"Apol9b",1,0.89,0.72,0.41,-0.46,-1.34,-1.22
"Mad2l1",0.9,0.88,0.79,0.47,-0.45,-1.37,-1.23
"Trim30c",0.97,0.81,0.63,0.7,-0.58,-1.24,-1.28
"Socs1",0.99,0.71,0.62,0.74,-0.47,-1.26,-1.33
"N4bp1",0.95,0.74,0.7,0.68,-0.46,-1.28,-1.33
"G3bp2",0.82,0.73,0.75,0.73,-0.37,-1.37,-1.29
"Ccnl2",0.95,0.68,0.74,0.68,-0.43,-1.4,-1.22
"Mitd1",0.86,0.74,0.72,0.79,-0.57,-1.36,-1.18
"Nmi",0.85,0.74,0.75,0.76,-0.54,-1.33,-1.23
"Atp10a",0.85,0.74,0.81,0.71,-0.58,-1.35,-1.18
"Arid5a",0.78,0.78,0.82,0.71,-0.51,-1.36,-1.22
"Tra2a",0.79,0.79,0.82,0.69,-0.5,-1.38,-1.2
"Trip13",0.57,0.92,0.93,0.62,-0.44,-1.23,-1.37
"Jag1",0.63,1,0.84,0.57,-0.45,-1.25,-1.34
"Mier3",0.73,0.81,0.78,0.74,-0.41,-1.3,-1.34
"Foxp4",0.74,0.84,0.68,0.74,-0.32,-1.32,-1.37
"Triobp",0.68,0.87,0.75,0.76,-0.43,-1.4,-1.22
"Fanca",0.66,0.93,0.69,0.73,-0.34,-1.37,-1.3
"AW112010",0.77,0.91,0.53,0.74,-0.23,-1.44,-1.27
"Zfp811",0.69,1.06,0.53,0.73,-0.4,-1.41,-1.2
"Leng1",0.68,0.95,0.57,0.82,-0.4,-1.44,-1.19
"Kmt5a",0.78,0.92,0.67,0.68,-0.45,-1.48,-1.12
"Khdc4",0.79,0.84,0.66,0.77,-0.46,-1.51,-1.08
"Rnaset2a",0.85,1,0.62,0.55,-0.44,-1.43,-1.15
"Cd14",0.88,0.84,0.68,0.6,-0.34,-1.45,-1.21
"Daam1",0.86,0.84,0.72,0.6,-0.37,-1.52,-1.12
"Kynu",0.69,0.51,1.44,0.21,-0.4,-1.29,-1.15
"Sertad3",0.67,0.39,1.35,0.37,-0.22,-1.03,-1.53
"Apmap",0.6,0.41,1.31,0.49,-0.18,-1.16,-1.46
"Fam174a",0.72,0.72,0.88,0.61,-0.24,-1.61,-1.07
"Rilpl1",0.59,0.62,0.98,0.59,0.02,-1.55,-1.24
"Rnf11",0.66,0.56,1,0.55,-0.04,-1.71,-1.02
"Msi2",0.91,0.2,1.14,0.34,0.08,-1.61,-1.06
"Gpr141",0.73,0.23,1.21,0.64,-0.17,-1.3,-1.35
"Jdp2",0.89,0.11,0.98,0.75,-0.06,-1.54,-1.14
"Gm2396",0.64,1.09,0.96,0.16,-0.28,-1.38,-1.2
"Atp13a4",0.68,1.1,0.98,0.21,-0.49,-1.4,-1.07
"Timeless",0.7,0.92,0.94,0.39,-0.31,-1.46,-1.18
"Gmppb",0.77,0.91,0.94,0.41,-0.47,-1.27,-1.29
"Gm47242",0.38,0.88,1.24,0.42,-0.39,-1.37,-1.17
"Gm37121",0.5,0.96,1.11,0.49,-0.64,-1.33,-1.1
"Slc31a1",0.5,1.14,0.94,0.42,-0.53,-1.38,-1.1
"Cxcl9",0.75,1.14,0.83,0.22,-0.47,-1.03,-1.45
"Epop",0.82,1.05,0.97,-0.08,-0.21,-1.25,-1.29
"Amigo3",0.65,0.94,1.34,-0.1,-0.58,-1.04,-1.21
"Phf23",0.71,0.98,1.05,0.32,-0.66,-1.11,-1.3
"Fam98b",0.74,0.94,1.08,0.34,-0.79,-1.19,-1.12
"Ewsr1",0.73,0.95,1.11,0.23,-0.65,-1.3,-1.08
"Akap12",1.25,0.49,0.98,0.01,-0.21,-1.34,-1.18
"Cdkn2d",1.05,0.31,1.23,0.22,-0.29,-1.25,-1.27
"Misp",1.22,0.63,1.13,-0.31,-0.45,-1.28,-0.95
"Psip1",1.05,0.71,1.05,0.26,-0.85,-1.26,-0.96
"Pik3cd",1.05,0.76,0.94,0.18,-0.6,-1.57,-0.75
"Gbe1",1.05,0.83,0.35,0.54,-0.52,-0.42,-1.83
"Gm50012",0.39,0.84,0.7,0.75,-0.13,-0.65,-1.91
"Plcb3",0.57,1.07,0.77,0.37,-0.31,-0.68,-1.8
"Lrrfip2",0.33,1.34,0.77,0.45,-0.55,-0.8,-1.54
"Snrpf",0.88,0.09,1.08,0.74,-0.55,-0.53,-1.71
"Cpd",1.08,0.28,0.72,0.91,-0.75,-0.7,-1.54
"Hif1a",1.15,0.25,0.68,0.75,-0.41,-0.72,-1.7
"Adhfe1",0.9,0.6,0.64,0.77,-0.4,-0.73,-1.77
"Psmd11",1.09,0.62,0.56,0.57,-0.14,-1.04,-1.65
"Dek",0.92,0.56,0.79,0.52,-0.06,-1.06,-1.68
"Svbp",0.92,0.78,0.95,0.38,-0.48,-1.1,-1.44
"Gm14057",0.9,0.71,0.97,0.4,-0.58,-0.78,-1.63
"D16Ertd472e",0.81,0.91,0.86,0.4,-0.5,-0.86,-1.62
"Rab5a",1.1,0.43,1.1,0.37,-0.72,-0.88,-1.4
"Mir155hg",1.12,0.59,0.99,0.32,-0.68,-0.95,-1.4
"Brd7",1.13,0.55,1.08,0.23,-0.62,-1.05,-1.31
"Tagap",1.18,0.66,0.71,0.41,-0.48,-0.94,-1.54
"Usp32",1.17,0.53,0.86,0.5,-0.69,-0.98,-1.39
"Alpk1",0.54,0.09,1.4,0.83,-0.61,-0.88,-1.38
"Serpinb9",0.74,0.54,1.47,0.15,-0.77,-0.8,-1.32
"Rsl24d1",0.85,0.52,1.17,0.57,-0.87,-0.92,-1.31
"Med6",0.97,0.24,1.18,0.61,-0.93,-0.7,-1.37
"Tpx2",1.05,0.52,0.93,0.45,-0.41,-1.55,-1
"Cd83",1.09,0.38,0.97,0.5,-0.37,-1.46,-1.11
"Ccl12",0.98,0.67,0.87,0.51,-0.48,-1.43,-1.14
"Rexo4",1.07,0.62,0.83,0.48,-0.38,-1.32,-1.3
"Gm49728",0.87,0.46,0.97,0.64,-0.24,-1.44,-1.25
"Csf3",0.97,0.25,0.97,0.77,-0.4,-1.39,-1.17
"Gbp2b",0.86,0.3,1.12,0.7,-0.44,-1.27,-1.28
"Gbp9",0.91,0.53,0.84,0.81,-0.53,-1.25,-1.3
"2310043P16Rik",0.9,0.5,0.91,0.76,-0.53,-1.29,-1.25
"Csrnp1",0.93,0.55,0.89,0.69,-0.49,-1.28,-1.3
"Ifit1bl1",0.97,0.66,0.82,0.66,-0.59,-1.25,-1.27
"Rasgrp1",0.99,0.58,0.74,0.78,-0.56,-1.28,-1.26
"Or2v1",1.05,0.49,0.95,0.54,-0.51,-1.14,-1.38
"Lif",1.1,0.4,0.98,0.58,-0.63,-1.25,-1.18
"1110032F04Rik",0.63,0.52,1.2,0.67,-0.47,-1.17,-1.37
"Lta",0.62,0.62,0.99,0.84,-0.52,-1.16,-1.39
"Sowahc",0.67,0.51,1.03,0.82,-0.45,-1.21,-1.37
"Ggct",0.82,0.57,0.82,0.81,-0.4,-1.52,-1.11
"Camsap1",0.76,0.59,0.89,0.84,-0.57,-1.49,-1.02
"Camk2d",0.65,0.67,0.9,0.83,-0.49,-1.52,-1.04
"Ddx60",0.71,0.61,0.86,0.93,-0.59,-1.3,-1.22
"Nod2",0.7,0.66,0.84,0.85,-0.4,-1.31,-1.34
"Sp140",0.73,0.71,0.85,0.79,-0.49,-1.41,-1.18
"Clic5",0.77,0.66,0.8,0.84,-0.48,-1.36,-1.23
"Oas1a",0.71,0.71,0.79,0.88,-0.49,-1.36,-1.23
"Hcar2",0.69,0.82,0.83,0.79,-0.6,-1.27,-1.25
"Traf1",0.73,0.81,0.82,0.74,-0.54,-1.26,-1.3
"Rnf214",0.78,0.78,0.83,0.73,-0.57,-1.29,-1.25
"Vnn3",0.84,0.68,0.9,0.68,-0.54,-1.32,-1.24
"Gtf2f1",0.81,0.72,0.88,0.66,-0.46,-1.29,-1.32
"Sp140l2",0.93,0.31,1.16,0.67,-0.8,-1.23,-1.05
"Gtf2e2",0.97,0.46,1.15,0.53,-0.93,-1.2,-0.97
"Ppm1k",0.77,0.75,1.04,0.56,-0.68,-1.21,-1.24
"Ktn1",0.87,0.56,1.01,0.7,-0.75,-1.14,-1.25
"Phlpp2",0.91,0.63,0.98,0.62,-0.78,-1.32,-1.04
"Nectin2",0.86,0.66,1.06,0.59,-0.92,-1.13,-1.11
"Ms4a6c",0.82,0.71,0.96,0.69,-1.02,-1.17,-1
"H3f3b",0.9,0.67,0.94,0.69,-0.97,-1.1,-1.12
"Ifi47",0.75,0.67,0.87,0.91,-0.92,-1.04,-1.22
"Gm9776",0.74,0.56,0.9,0.96,-0.94,-0.99,-1.24
"Lrrc75a",0.68,0.59,1.02,0.88,-0.93,-1.18,-1.05
"Axl",0.76,0.6,0.98,0.82,-0.83,-1.19,-1.15
"Hbegf",0.79,0.46,0.94,0.94,-0.76,-1.12,-1.25
"Ifi205",0.95,0.48,0.79,0.88,-0.64,-1.23,-1.24
"Ifi206",0.88,0.55,0.85,0.86,-0.74,-1.15,-1.26
"Wars1",0.75,0.67,0.92,0.81,-0.79,-1.02,-1.35
"Ppa1",0.91,0.66,0.86,0.73,-0.82,-1.03,-1.31
"Flnb",0.83,0.7,0.81,0.83,-0.8,-1.05,-1.31
"Usp25",0.86,0.65,0.82,0.83,-0.83,-0.99,-1.34
"Phf11b",0.87,0.72,0.84,0.75,-0.81,-1.12,-1.24
"Slco3a1",0.81,0.78,0.8,0.78,-0.76,-1.17,-1.24
"Inhba",0.8,0.75,0.8,0.81,-0.72,-1.17,-1.27
"AA467197",0.8,0.73,0.81,0.82,-0.76,-1.13,-1.28
"Tmem67",0.72,0.77,0.79,0.87,-0.71,-1.1,-1.34
"Slfn9",0.73,0.76,0.85,0.82,-0.73,-1.13,-1.3
"Cept1",0.7,0.71,0.91,0.84,-0.74,-1.14,-1.28
"Trim30d",0.82,0.66,0.77,0.9,-0.71,-1.21,-1.24
"Ifi203",0.73,0.75,0.83,0.86,-0.75,-1.29,-1.12
"Gas7",0.78,0.71,0.77,0.91,-0.82,-1.22,-1.14
"Jak2",0.81,0.72,0.87,0.79,-0.87,-1.05,-1.27
"Parp8",0.81,0.69,0.94,0.74,-0.86,-1.1,-1.21
"Sp110",0.91,0.64,0.85,0.78,-0.9,-1.12,-1.17
"Cd38",0.93,0.65,0.88,0.71,-0.83,-1.18,-1.17
"Car13",0.91,0.67,0.81,0.72,-0.66,-1.46,-0.99
"Oas1b",0.96,0.63,0.67,0.87,-0.68,-1.39,-1.05
"Lox",0.96,0.69,0.68,0.78,-0.65,-1.41,-1.05
"Enpp4",0.9,0.63,0.81,0.81,-0.74,-1.32,-1.09
"Trim12a",0.8,0.68,0.75,0.88,-0.61,-1.41,-1.1
"Isg20",0.95,0.76,0.72,0.69,-0.64,-1.23,-1.25
"Epha4",0.99,0.72,0.72,0.72,-0.71,-1.18,-1.25
"Aoah",1,0.69,0.77,0.65,-0.64,-1.15,-1.33
"Lmo4",0.92,0.69,0.82,0.72,-0.69,-1.14,-1.31
"Tnfsf15",0.83,0.75,0.84,0.73,-0.68,-1.21,-1.26
"F10",0.87,0.76,0.8,0.71,-0.65,-1.26,-1.24
"Oas2",0.89,0.73,0.69,0.82,-0.64,-1.19,-1.3
"Nfkbia",0.89,0.74,0.74,0.74,-0.56,-1.27,-1.28
"Bst2",0.88,0.76,0.75,0.73,-0.58,-1.27,-1.27
"Lgals9",0.83,0.81,0.78,0.73,-0.68,-1.28,-1.19
"Camkk2",0.9,0.8,0.71,0.73,-0.71,-1.3,-1.14
"Phf11c",0.95,0.65,0.74,0.83,-0.78,-1.22,-1.16
"Mgat4a",0.98,0.73,0.64,0.79,-0.73,-1.23,-1.18
"Dennd3",0.6,0.88,0.83,0.88,-0.91,-1.19,-1.09
"Whamm",0.6,0.89,0.85,0.84,-0.84,-1.19,-1.14
"1110038F14Rik",0.56,0.85,0.84,0.89,-0.75,-1.27,-1.13
"Exoc3l4",0.55,0.94,0.83,0.82,-0.72,-1.24,-1.19
"Nfkbie",0.58,0.93,0.89,0.76,-0.84,-1.18,-1.15
"Tap1",0.53,0.86,0.92,0.84,-0.77,-1.2,-1.18
"Calcrl",0.57,0.83,0.94,0.83,-0.83,-1.17,-1.16
"Etnk1",0.61,0.85,0.9,0.81,-0.81,-1.2,-1.16
"Edn1",0.59,0.77,0.96,0.82,-0.71,-1.17,-1.26
"Fabp3",0.64,0.8,0.84,0.86,-0.69,-1.17,-1.28
"Srsf3",0.62,0.74,0.87,0.93,-0.72,-1.15,-1.28
"Gbp7",0.61,0.78,0.86,0.91,-0.81,-1.06,-1.3
"Oasl2",0.61,0.88,0.84,0.84,-0.85,-1.08,-1.24
"Slfn8",0.6,0.81,0.91,0.86,-0.92,-1.05,-1.21
"Trim26",0.66,0.83,0.96,0.71,-0.9,-1.33,-0.94
"Fxr1",0.66,0.73,1,0.76,-0.86,-1.35,-0.95
"Tbc1d1",0.71,0.87,0.95,0.63,-0.85,-1.31,-1
"Il18bp",0.64,0.82,1.03,0.67,-0.92,-1.21,-1.04
"Vps54",0.76,0.75,0.97,0.69,-0.88,-1.23,-1.06
"Dnaja1",0.69,0.83,0.94,0.72,-0.87,-1.21,-1.1
"Gvin-ps7",0.59,0.88,0.91,0.77,-0.72,-1.25,-1.17
"Pim1",0.6,0.83,0.94,0.76,-0.65,-1.31,-1.16
"Sh3bp5",0.7,0.82,0.94,0.69,-0.76,-1.3,-1.1
"Lpar1",0.65,0.81,0.97,0.72,-0.72,-1.23,-1.2
"Lap3",0.65,0.83,0.93,0.76,-0.79,-1.23,-1.15
